report_section,schema_name,table_name,column_count,estimated_rows,table_size,table_trust_score,table_trust_level,table_sensitivity_level,table_sensitivity_score,pii_risk_assessment,completeness,consistency,freshness,total_reads,total_writes,last_access,usage_frequency,high_risk_pii_columns,medium_risk_pii_columns,low_risk_pii_columns,business_criticality,encryption_required,audit_logging_required,access_control_level
TABLE-LEVEL KPI DASHBOARD,Person,Address,9,"19,614",2.99 MB,50.56,MEDIUM,HIGH,90,HIGH,77.80%,22.20%,10.00%,0,0,Never days,NO_USAGE,0,5,0,BUSINESS_CRITICAL,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,Customer,7,"19,820",1.07 MB,53.14,MEDIUM,HIGH,90,CRITICAL,57.10%,57.10%,10.00%,0,0,Never days,NO_USAGE,1,0,0,MISSION_CRITICAL,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Person,EmailAddress,5,"19,972",2.07 MB,53.4,MEDIUM,HIGH,81,MEDIUM,80.00%,40.00%,10.00%,0,0,Never days,NO_USAGE,0,2,0,BUSINESS_CRITICAL,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Person,Password,5,"19,972",1.95 MB,53.8,MEDIUM,HIGH,95,CRITICAL,100.00%,20.00%,10.00%,0,0,Never days,NO_USAGE,2,0,0,BUSINESS_CRITICAL,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Sales,CreditCard,6,"19,118",1.57 MB,54.33,MEDIUM,HIGH,90,CRITICAL,100.00%,16.70%,10.00%,0,0,Never days,NO_USAGE,1,0,0,MISSION_CRITICAL,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Person,PersonPhone,4,"19,972",1.26 MB,58,MEDIUM,HIGH,81,MEDIUM,100.00%,50.00%,10.00%,0,0,Never days,NO_USAGE,0,2,0,BUSINESS_CRITICAL,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Person,BusinessEntityAddress,5,"19,614",0.95 MB,59.4,MEDIUM,HIGH,81,MEDIUM,100.00%,60.00%,10.00%,0,0,Never days,NO_USAGE,0,2,0,BUSINESS_CRITICAL,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Person,Person,13,"19,972",30.55 MB,59.92,MEDIUM,HIGH,84,HIGH,61.50%,107.70%,10.00%,0,0,Never days,NO_USAGE,0,3,2,BUSINESS_CRITICAL,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,PersonCreditCard,3,"19,118",0.57 MB,61.33,MEDIUM,HIGH,90,CRITICAL,100.00%,66.70%,10.00%,0,0,Never days,NO_USAGE,1,0,0,MISSION_CRITICAL,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Purchasing,Vendor,8,104,0.20 MB,62.75,MEDIUM,HIGH,90,CRITICAL,87.50%,112.50%,10.00%,0,0,Never days,NO_USAGE,1,0,0,REFERENCE,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesOrderHeader,26,"31,465",5.45 MB,65.31,HIGH,HIGH,100,CRITICAL,65.40%,134.60%,10.00%,0,0,Never days,NO_USAGE,3,2,0,MISSION_CRITICAL,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesTaxRate,7,29,0.07 MB,66,HIGH,HIGH,90,CRITICAL,100.00%,128.60%,10.00%,0,0,Never days,NO_USAGE,1,0,0,REFERENCE,YES,YES,RESTRICTED
TABLE-LEVEL KPI DASHBOARD,Person,AddressType,4,6,0.07 MB,46.5,LOW,MEDIUM,49,MEDIUM,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,1,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Person,PhoneNumberType,3,3,0.07 MB,47.67,LOW,MEDIUM,49,MEDIUM,100.00%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,1,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductReview,8,4,0.20 MB,57.5,MEDIUM,MEDIUM,49,MEDIUM,87.50%,125.00%,10.00%,0,0,Never days,NO_USAGE,0,1,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,CurrencyRate,7,"13,532",0.82 MB,58,MEDIUM,MEDIUM,55,LOW,100.00%,42.90%,10.00%,0,0,Never days,NO_USAGE,0,0,1,MISSION_CRITICAL,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,WorkOrderRouting,12,"67,131",5.51 MB,61,MEDIUM,MEDIUM,52,MINIMAL,66.70%,116.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesOrderHeaderSalesReason,3,"27,647",0.76 MB,61.33,MEDIUM,MEDIUM,55,MINIMAL,100.00%,66.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,MISSION_CRITICAL,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,HumanResources,Employee,16,290,0.13 MB,63.88,MEDIUM,MEDIUM,52,MEDIUM,87.50%,106.30%,10.00%,0,0,Never days,NO_USAGE,0,1,3,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,TransactionHistoryArchive,9,"89,253",4.95 MB,64,MEDIUM,MEDIUM,52,MINIMAL,100.00%,100.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,WorkOrder,10,"72,591",4.20 MB,65,HIGH,MEDIUM,52,MINIMAL,80.00%,130.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,TransactionHistory,9,"113,443",6.26 MB,67.11,HIGH,MEDIUM,52,MINIMAL,100.00%,122.20%,10.00%,0,0,Never days,NO_USAGE,0,0,0,OPERATIONAL,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesOrderDetail,11,"121,317",9.76 MB,69.64,HIGH,MEDIUM,55,MINIMAL,90.90%,136.40%,10.00%,0,0,Never days,NO_USAGE,0,0,0,MISSION_CRITICAL,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,dbo,ErrorLog,9,0,0.00 MB,30.45,VERY_LOW,LOW,28,LOW,55.60%,11.10%,10.00%,0,0,Never days,NO_USAGE,0,0,1,MINIMAL,NO,NO,STANDARD
TABLE-LEVEL KPI DASHBOARD,Production,Illustration,3,5,0.39 MB,41.33,LOW,LOW,45,MINIMAL,66.70%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,ProductPhoto,6,101,2.45 MB,41.67,LOW,LOW,45,MINIMAL,33.30%,16.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,Culture,3,8,0.07 MB,42,LOW,LOW,45,MINIMAL,100.00%,0.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,dbo,AWBuildVersion,4,1,0.07 MB,43.5,LOW,LOW,15,MINIMAL,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,STANDARD
TABLE-LEVEL KPI DASHBOARD,Production,ProductCategory,4,4,0.07 MB,45.5,LOW,LOW,45,MINIMAL,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,dbo,DatabaseLog,8,"1,596",6.39 MB,45.75,LOW,LOW,20,MINIMAL,75.00%,12.50%,10.00%,0,0,Never days,NO_USAGE,0,0,0,SUPPORTING,NO,NO,STANDARD
TABLE-LEVEL KPI DASHBOARD,HumanResources,Shift,5,3,0.07 MB,45.8,LOW,LOW,15,MINIMAL,100.00%,20.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,HumanResources,JobCandidate,4,13,0.39 MB,46,LOW,LOW,15,MINIMAL,50.00%,50.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,UnitMeasure,3,38,0.07 MB,46,LOW,LOW,45,MINIMAL,100.00%,0.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,ProductModel,6,128,0.33 MB,47,LOW,LOW,45,MINIMAL,66.70%,16.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,HumanResources,Department,4,16,0.07 MB,50.5,MEDIUM,LOW,15,MINIMAL,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ScrapReason,3,16,0.07 MB,50.67,MEDIUM,LOW,45,MINIMAL,100.00%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Person,CountryRegion,3,238,0.20 MB,51,MEDIUM,LOW,15,MINIMAL,100.00%,0.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,Store,6,701,0.88 MB,51.33,MEDIUM,LOW,50,MINIMAL,66.70%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductModelIllustration,3,7,0.07 MB,51.33,MEDIUM,LOW,45,MINIMAL,100.00%,66.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Sales,SalesReason,4,10,0.07 MB,51.5,MEDIUM,LOW,50,MINIMAL,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductSubcategory,5,37,0.07 MB,51.6,MEDIUM,LOW,45,MINIMAL,100.00%,40.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Person,ContactType,3,20,0.07 MB,51.67,MEDIUM,LOW,15,MINIMAL,100.00%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,YES,YES,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Sales,Currency,3,105,0.07 MB,52,MEDIUM,LOW,50,MINIMAL,100.00%,0.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,CONTROLLED
TABLE-LEVEL KPI DASHBOARD,Production,ProductDescription,4,762,0.26 MB,53.5,MEDIUM,LOW,45,MINIMAL,100.00%,25.00%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Production,ProductDocument,3,32,0.07 MB,55.33,MEDIUM,LOW,45,MINIMAL,100.00%,66.70%,10.00%,0,0,Never days,NO_USAGE,0,0,0,REFERENCE,NO,NO,MANAGED
TABLE-LEVEL KPI DASHBOARD,Person,BusinessEntity,3,"20,777",0.82 MB,55.67,MEDIUM,LOW,30,MINIMAL,100.00%,33.30%,10.00%,0,0,Never days,NO_USAGE,0,0,0,BUSINESS_CRITICAL,YES,YES,CONTROLLED
