"report_section","full_column_name","data_type","nullable","pii_category","pii_risk_level","data_sensitivity","recommended_action"
DETAILED PII INVENTORY FOR DATA CATALOG,Person.Password.PasswordHash,varchar(128),NO,AUTHENTICATION,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Person.Password.PasswordSalt,varchar(10),NO,AUTHENTICATION,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Sales.CreditCard.CreditCardID,int,NO,FINANCIAL,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Sales.PersonCreditCard.CreditCardID,int,NO,FINANCIAL,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Sales.SalesOrderHeader.CreditCardApprovalCode,varchar(15),YES,FINANCIAL,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Sales.SalesOrderHeader.CreditCardID,int,YES,FINANCIAL,HIGH_PII_RISK,HIGHLY_SENSITIVE,ENCRYPT - Apply strong encryption and restrict access
DETAILED PII INVENTORY FOR DATA CATALOG,Sales.SalesTaxRate.SalesTaxRateID,int,NO,FINANCIAL,HIGH_PII_RISK,HIGHLY_SENSITIVE,STANDARD - Apply standard data governance controls
DETAILED PII INVENTORY FOR DATA CATALOG,HumanResources.Employee.BirthDate,date,NO,DEMOGRAPHIC,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
DETAILED PII INVENTORY FOR DATA CATALOG,Person.Address.AddressID,int,NO,ADDRESS_INFO,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
DETAILED PII INVENTORY FOR DATA CATALOG,Person.Address.AddressLine1,nvarchar(120),NO,ADDRESS_INFO,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
DETAILED PII INVENTORY FOR DATA CATALOG,Person.Address.AddressLine2,nvarchar(120),YES,ADDRESS_INFO,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
DETAILED PII INVENTORY FOR DATA CATALOG,Person.AddressType.AddressTypeID,int,NO,ADDRESS_INFO,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
DETAILED PII INVENTORY FOR DATA CATALOG,Person.BusinessEntityAddress.AddressID,int,NO,ADDRESS_INFO,MEDIUM_PII_RISK,SENSITIVE,RESTRICT - Limit access to authorized personnel only
